227,19165 Hoover,17013919,Rickman Enterprise Group,16321.1,HHF,No,3,Pulaski,42.435433,-83.00505799999999
228,19410 Albion,17014278,Rickman Enterprise Group,19998.1,HHF,No,3,Pulaski,42.438057,-83.005601
229,19610 Albion,17014285,Rickman Enterprise Group,16378.1,HHF,No,3,Pulaski,42.438888,-83.00562099999999
230,17861 Runyon,17014807,Rickman Enterprise Group,15069.1,HHF,No,3,Von Steuben,42.426226,-83.007092
231,19330 Teppert,17014998,Rickman Enterprise Group,36628.1,HHF,No,3,Pulaski,42.436921000000005,-83.007636
232,19213 Algonac,17015742-3,Den-Man Contractors,22040.3,HHF,No,3,Pulaski,42.435921,-83.010479
233,19179 Algonac,17015748,Rickman Enterprise Group,18373.1,HHF,No,3,Pulaski,42.435393,-83.010456
234,19031 Heyden,22099468,Den-Man Contractors,23470.0,Non-HHF,No,1,Holcomb Community,42.428969,-83.24106
235,8855 Heyden,22099940,Rickman Enterprise Group,14948.62,HHF,No,7,Franklin Park,42.358393,-83.238754
236,8675 Heyden,22099945,Rickman Enterprise Group,18690.62,HHF,No,7,Warrendale,42.356753999999995,-83.238688
237,8515 Heyden,22099945.01,Rickman Enterprise Group,16000.62,HHF,No,7,Warrendale,42.355540999999995,-83.238654
238,15100 Kentfield,22100173,Homrich,20797.67,HHF,No,1,Brightmoor,42.399561,-83.240184
239,15126 Kentfield,22100176,Homrich,16052.66,HHF,No,1,Brightmoor,42.39989,-83.240195
240,9946 Auburn,22092348,Salenbien Trucking & Excavating Inc.,15602.45,HHF,No,7,Franklin Park,42.367998,-83.233345
241,9921 Auburn,22092786,Salenbien Trucking & Excavating Inc.,17159.83,HHF,No,7,Franklin Park,42.367662,-83.23405
242,5950 Lakepointe,21064699,Salenbien Trucking & Excavating Inc.,11526.5,HHF,No,4,Morningside,42.405528000000004,-82.955938
243,9140 Lakepointe,21064712,Salenbien Trucking & Excavating Inc.,12182.3,HHF,No,4,Outer Drive-Hayes,42.408108,-82.957853
244,9410 Lakepointe,21064719,Salenbien Trucking & Excavating Inc.,14309.3,HHF,No,4,Outer Drive-Hayes,42.408972,-82.95789599999999
