Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
New Zealand,24021,22636,22651,23830,24716,25476,25984,26152,26077,27371,27963,28752,29637,30404,31098,31798,32281,32928,32122,31723,31824,32283,32806,33360,33538,34186
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,3025,2948,2888,2807,2833,2934,3057,3117,3175,3342,3424,3474,3452,3493,3632,3740,3846,3998,4060,3896,3966,4154,4304,4432,4574,4712
Niger,924,918,830,814,818,811,809,802,854,819,778,804,798,811,782,788,804,799,843,806,841,828,891,897,923,943
Nigeria,3030,2936,2875,2863,2817,2740,2805,2813,2818,2761,2836,2888,2922,3144,4098,4130,4353,4528,4684,4874,5114,5217,5291,5423,5607,5727
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,43296,44419,45742,46765,48850,50616,52892,55386,56502,57246,58699,59620,60152,60351,62370,63573,64573,65781,65216,63354,62946,62737,63620,63322,64020,64304
Oman,35076,35728,37147,37882,38131,39194,39990,42370,43621,43544,45472,46523,44628,41970,41220,41270,42933,44585,47799,49393,49188,45081,44060,41770,48201,48226
Pakistan,2961,3026,3174,3148,3183,3255,3324,3270,3266,3303,3366,3362,3405,3506,3698,3910,4076,4194,4187,4227,4220,4261,4337,4454,4619,4743
Palau,16913,15886,14474,12343,12882,13913,14978,14961,14930,13859,12894,13412,14242,13489,14363,14644,14298,14231,13492,11974,12113,13034,13532,13153,14078,14315
Panama,7463,7997,8476,8757,8823,8795,8857,9237,9713,9889,9954,9814,9836,10053,10605,11156,11886,13087,14033,14339,14921,16254,17627,18793,19637,20485
Papua New Guinea,1607,1717,1907,2198,2270,2139,2245,2101,1969,1953,1856,1806,1758,1752,1756,1822,1819,1903,1982,2055,2163,2341,2476,2558,2510,2529
Paraguay,5985,6037,5988,6132,6306,6582,6536,6665,6527,6303,6031,5860,5742,5873,5994,6007,6180,6398,6684,6306,7008,7186,6975,7833,8038,8219
Peru,5280,5290,5160,5329,5875,6198,6260,6551,6418,6411,6485,6433,6693,6883,7137,7499,7975,8563,9249,9246,9915,10429,10913,11395,11514,11903
Philippines,4010,3891,3813,3804,3882,3973,4112,4230,4115,4151,4243,4275,4340,4465,4672,4804,4967,5205,5332,5304,5614,5721,6005,6326,6598,6876
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,10088,9347,9553,9884,10386,11093,11776,12602,13225,13824,14565,14744,14964,15508,16314,16900,17959,19254,19996,20507,21328,22333,22740,23144,23952,24787
Portugal,20282,21216,21464,21000,21146,21975,22658,23555,24560,25371,26147,26468,26526,26180,26590,26744,27111,27732,27747,26895,27393,26932,25953,25677,26055,26437
Puerto Rico,25275,25311,26169,26949,27764,28629,29129,29770,31597,32088,32484,35607,36192,36600,37237,37503,37327,36298,35855,35199,34454,34121,33580,33818,33649,33604
Qatar,73402,70806,77977,76440,76944,77809,79461,100111,107276,107741,112238,112539,117133,115622,126335,119134,127563,126364,126076,122655,127984,133734,130990,131579,133563,132877
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,11449,10059,9253,9406,9794,10516,10969,10329,9855,9752,9970,10684,11429,12105,13286,13941,15246,16442,18032,16947,16888,17363,17502,18182,18569,19203
Russia,19349,18332,15661,14320,12535,12013,11597,11779,11173,11925,13173,13902,14629,15768,16967,18118,19660,21374,22506,20739,21664,22570,23299,23561,23293,23038
Rwanda,856,863,973,965,509,695,749,781,768,754,764,796,880,879,928,973,1038,1087,1173,1210,1262,1324,1400,1426,1485,1549
St. Barth_lemy,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,
